ten,thoi gian,so nguoi,do kho,nguyen lieu,cach che bien
Đậu Hũ sốt Trứng Muối,20 phút,2 phần ăn,Dễ,2 miếng (khoảng 300g) Đậu hũ | 3 cái Lòng đỏ trứng muối | 10 g Bơ lạt | 1 nhánh Hành lá | 30 ml Dầu ăn | 1/4 muỗng cà phê Muối | 1/2 muỗng cà phê Đường,"Đậu hũ cắt khối vuông, chiên vàng giòn rồi vớt ra để ráo dầu. | Lòng đỏ trứng muối hấp chín, tán nhuyễn. | Làm nóng chảo, cho bơ vào đun chảy, thêm trứng muối tán nhuyễn, đảo đều cho bông lên. | Cho đậu hũ đã chiên vào chảo, đảo nhẹ cho trứng muối bám đều. | Nêm muối, đường cho vừa ăn, rắc hành lá cắt nhỏ, tắt bếp."
Cá Ba Sa Nấu Cải Chua,30 phút,1 tô,Dễ,300 g Cá ba sa | 150 g Cải chua | 1 quả Cà chua | 1 trái Ớt | 2 nhánh Hành lá | 5 g Rau ngổ | 5 g Ngò gai | 800 ml Nước | 1 muỗng canh Dầu ăn | 1 muỗng canh Nước mắm | 1/2 muỗng cà phê Muối | 1/2 muỗng cà phê Đường | 1/4 muỗng cà phê Bột ngọt,"Cá ba sa cắt khúc, rửa sạch với muối. | Cà chua bổ múi cau, cải chua cắt vừa ăn. Cải chua qua thì mình rửa/trụng nước sôi vắt ráo nhé! | Phi thơm hành với dầu, cho cà chua vào xào mềm. | Thêm cải chua, đảo đều rồi cho nước vào nấu sôi. | Cho cá vào, nêm nước mắm, muối, đường, bột ngọt. | Nấu lửa nhỏ đến khi cá chín, nêm lại vừa ăn. | Thêm rau ngổ, ngò gai, ớt, hành lá, tắt bếp và múc ra tô."
Thịt Ba Chỉ Xào Mắm Tép,30 phút,5 phần,Dễ,400 g Thịt ba chỉ | 2 muỗng cà phê Mắm tép | 1 muỗng cà phê Đường | 1 muỗng cà phê Sả xay nhuyễn | 1 muỗng cà phê Dầu điều | 1 muỗng cà phê Ớt băm | 2 quả Dưa leo | 1 trái Ớt tươi,"Thịt ba chỉ rửa sạch bằng dấm muối, thấm khô, cắt con chì nhỏ. | Cho thịt vào chảo, xào lửa vừa cho ra bớt mỡ và thịt giòn lên. | Thêm mắm tép, đường, sả xay, dầu điều, ớt băm vào đảo đều cho thấm vị. Gia giảm độ mặn như ý, càng mặn càng để được lâu. | Xào thêm 2-3 phút cho thịt săn lại, dậy mùi thơm. | Dưa leo cắt lát, xếp quanh đĩa, cho thịt lên giữa, trang trí ớt tươi."
Mâm Cơm Ngày Mưa Gió,1 giờ,4 người,Dễ,600 gr gà ta chặt sẵn | 3 khúc cá hú | 1 mớ rau lang,"Gà kho gừng | Rau lang lặt phần non rửa sạch vẩy ráo. Nấu nồi nước sôi, hơi nhiều chút, cho rau luộc ngập nước. Nước sôi bùng lại là vớt ra được. Dội qua nước đá lạnh rau sẽ xanh giòn. | Canh chua cá hú | Rau câu dừa bánh flan"
Canh Chua Cá Hú,20 phút,2 tô,Dễ,"3 khứa (300g) Cá hú | 5 trái Đậu bắp | 2 trái Cà chua | 1 cây Bạc hà ( dọc mùng ) | 1/4 trái Thơm ( dứa ) | 20 g Me chua | 1 trái Ớt | 2 nhánh Rau ngò om, ngổ | 1 muỗng canh Nước mắm | 2 muỗng cà phê Đường | 1/2 muỗng cà phê Muối | 1 lít Nước","Cá hú rửa sạch với nước pha giấm, cắt khúc vừa ăn. | Đậu bắp, bạc hà, cà chua, thơm cắt miếng vừa. Thơm xào với 1 tsp đường. | Nấu sôi nước, cho me vào dầm lấy nước cốt, bỏ xác. Cho thơm vào nấu sôi. | Cho cá hú vào nồi nước me, nêm muối, nước mắm, đường. | Khi cá gần chín, cho cà chua, đậu bắp, bạc hà vào. | Nấu thêm 3 phút, nêm lại vừa ăn, cho hành lá, ngò om, ngổ, ớt cắt lát vào rồi tắt bếp."
Bắp Xào Tôm Bơ,20 phút,2 người,Dễ,"200 gr Bắp mỹ tách hạt | 1 củ hành tím (hoặc đầu hành lá ) | 10 gr tép khô hoặc tôm khô , ngâm nở | 1 tsp hành phi | 1 tbsp hành lá | 1 tsp bơ lạt | 1 chút muối","Bắp đã tách hạt sẵn rửa sạch. Tuỳ ý luộc trước, để ráo. Cho bơ vào chảo, hành tím phi thơm, cho bắp vào. | Thêm tép rang, nêm xíu muối. | Rắc hành lá là xong."
Cá NỤC chiên giòn với mắm xoài,40 phút,2 người,Dễ,"250 gr cá nục tươi | 1 trái xoài keo xanh | 2 trái ớt | 1 tép tỏi | Gia vị: muối, nước mắm , đường | Dầu ăn","Sơ chế nguyên liệu: Cá đã được làm sạch rồi ngâm rửa qua nước muối loãng xong rửa lại nhiều lần nước, để ráo... Xoài gọt bỏ vỏ rồi bào thành những sợi dài (xoài keo cứng & sống nhưng ruột vàng chứ chưa chín) | Chiên cá: Để vào chảo 3 muỗng canh dầu ăn, dầu nóng để cá vào chiên, chiên cá sao cho vàng giòn 2 mặt rồi gắp ra lên dĩa xoài | Làm nước mắm: Để vào cối 3 muỗng canh đường cùng tỏi + ớt vào chén rồi dùng chày giã nhuyễn xong cho thêm 3 muỗng canh nước mắm vào khuấy tan hết đường | Thành phẩm: Cá chiên giòn, xoài chua chua thấm nước mắm vừa vị rất kích thích vị giác giác... Ăn với cơm nóng ngon miệng lắm luôn"
Chè rau câu,30ph,4 người,Dễ,25 gr rau câu rửa sạch để ráo | 700 ml nước | 1 mc gừng băm | 150 gr đường vàng (vị ngọt tùy thích),"Nấu sôi nước, cho gừng và đường vào nấu cho tan. | Cho rau câu vào. Nước sôi lại 3 phút thì tắt bếp, đậy nắp nồi. Giữ nguyên thên vài phút. | Đổ ra chén nhỏ và khay thủy tinh. Khi nguội, rau câu đông lại thì cho vào tủ lạnh."
Tacos bò băm,1 tiếng,5 phần ăn,Dễ,400 g thịt bò xay | 1 gói gia vị Tacos | 2 tbsp tinh chất cà chua cô đặc | Sốt quả bơ ăn kèm (Guacamole) | 1 quả bơ | 1 quả cà chua | 20 ml nước cốt chanh | 1 nắm rau mùi | 12 cái vỏ bánh tacos | 1 cây xà lách,"Nguyên liệu mình dùng ở dưới ảnh gồm 1 gói gia vị tacos, vỏ bánh và cà chua cô đặc | Thịt bò xào trên lửa lớn cùng gói gia vị Tacos, lúc thịt bò gần chín thì cho 2 tbsp cà chua cô đặt vào xào cùng cho đến khi thịt bò vừa chín, không xào quá lâu thịt dễ bị dai. | Quar bơ cắt hạt lựu rồi nghiền nhuyễn, cà chua bổ đôi bỏ hạt và phần nước bên trong sau đó thái hạt lựu rồi trộn cùng với phần quả bơ nhuyễn ở trên. Cho 2 muỗng canh nước cốt chanh vào trộn cùng hữu hợp trên. Băm nhỏ 1 ít rau mùi trộn cùng cho thơm là xong. | Rau xà lách rửa sạch rồi cắt nhỏ | Cho các nguyên liệu vào vỏ bánh Tacos rồi thưởng thức. Nhà mình thường ăn kèm tabasco và mayonnaise."
🌱 Sinh Tố Dưa Leo Táo Xanh & Rau Chân Vịt Detox,5 phút,2 ly,Dễ,2 trái dưa leo 🥒 | 2 trái táo xanh 🍏 | 1 nắm lớn rau chân vịt | 1 trái chanh vàng | 300 ml nước lọc | 1 nhúm muối nhỏ,"Cắt nhỏ dưa leo, táo bỏ hạt, rau chân vịt rửa sạch để ráo | Cho tất cả vào máy xay cùng nước và 1 nhúm muối nhỏ xay nhuyễn | Vắt trái chanh vào cối xay, lắc đều rồi rót vào ly, dùng tươi không để lâu vitamin sẽ mất đi ít nhiều."
Lẩu Ếch Măng Cay 🌶️,1.5 giờ,4 phần,Dễ,"1 kí ếch (đã làm sạch) | 2 quả cà chua | 300 gr măng lay | 10 cái nấm hương , ngâm nở | 1/4 quả dứa | 4 cây sả | 1 tbsp màu dầu điều | 1 tsp bột nghệ | 1/2 củ hành tây, xắt lát | 2 quả dừa | 1 muỗng canh sa tế | 1 quả ớt sừng | 100 gr măng ngâm mắc mật (tuỳ ý) | 1 nắm lá lốt , tía tô , mùi tàu | 1 ít mẻ hoặc dấm | 2 tbsp bột chiên giòn hoặc bột bắp | 500 gr Bún tươi | 500 gr rau ăn kèm: rau muống , hoa chuối , nấm tuỳ ý | 1 ít Gia vị thông thường: muối, đường, nước mắm","Đầu tiên làm ếch vì cần thời gian thấm gia vị: ếch nhờ người bán lột da (nếu không thích da) bỏ ruột. Mình đem về rửa với nước muối, dấm. Để ráo. Cắt làm 4. Ướp ếch với 1 tbsp nước mắm, 1/4 tsp muối, 1 tsp bột nghệ, 1 tbsp hành tỏi phi hoặc 1 ít hành tỏi bột, sả băm hoặc bột sả. Để ngấm ít nhất 30 phút. | Măng luộc với nước sôi, để ráo xắt sợi vừa ăn. | Chuẩn bị rửa sạch sẽ các loại rau nấu/ăn kèm: muống, chuối bào, lá lốt, tía tô, mùi tàu, sả, cà chua, … | Lăn ếch qua bột chiên giòn, cho vào chảo nhiều dầu, chiên tới khi vàng các mặt vớt ra để ráo dầu. Có thể dùng nckd nhưng ếch sẽ khô hơn. | Phi thơm ít hành tỏi băm xào măng với xíu muối cho thấm. Xếp măng và ếch chiên lên đĩa, thêm ít rau thơm lên trên. | Nấu nước lẩu: phi thơm hành tỏi sả đập dập, cho thơm và cà chua, hành tây, nấm hương, dầu điều vào xào. Thêm nước của 2 trái dừa, thêm nước lọc sao cho thành 2 lít nước lẩu. Bước này có măng ngâm sẽ thêm vào, thêm ít vị chua. Còn không có măng ngâm thì bỏ qua. Nêm lại với đường, mẻ, nước mắm cuối cùng sao cho chua mặn ngọt vừa ăn. Sa tế hay ớt cay cũng tuỳ ý gia giảm. | Dọn kèm nước mắm ớt, rau nhúng các loại, bún tươi. Khi ăn nhúng rau chín, thêm ếch vào chan nước lẩu nóng lên thưởng thức! 🥰"
Mâm cơm gia đình #82: các món từ cá rô phi,60 phút,4 người,Dễ,Cá rô phi cuộn thịt chiên giòn | Cá chiên giòn | Canh cá nấu rau cần nước,Cá cuộn thịt chiên giòn | Cá chiên giòn | Canh cá nấu rau cần nước
Rau cần nước nấu cá,30 phút,4 người,Dễ,"Xương cá rô phi | 2 củ hành khô | 1 miếng gừng | 1 mớ rau cần nước | 02 quả cà chua , gia vị","Cho xương cá vào luộc với chút muối và gừng đập dập. Cá chín vớt ra gỡ lấy thịt. Nước luộc cá để riêng. | Hành khô cắt mỏng, phi thơm, cho thịt cá vào xào với 2 thìa canh mắm cho đến khi săn lại. Chế vào nồi nước luộc cá và nước sôi cho đủ 1.5l, cho cà chua cắt múi cau vào. | Rau cần rửa sạch, cắt khúc. Chờ canh cá sôi, nêm gia vị cho vừa miệng rồi thả rau cần vào, chờ canh sôi lại thì tắt bếp, ăn nóng."
Mít non kho rau răm và chao,60 phút,2 phần ăn,Dễ,500 g Mít non | 1 mớ Rau răm | 1 miếng Chao | 1 muỗng cà phê Muối | 2 muỗng cà phê Đường | 1 trái Ớt | 2 muỗng canh Dầu ăn,"Mít non gọt sạch vỏ, cắt khúc vừa ăn, rửa sạch, luộc sôi 5 phút, vớt ra xả lại cho sạch nhựa. | Cho mít vào nồi, thêm chao, muối, đường, ớt và dầu ăn. Thêm nước xâm xấp mặt mít, kho nhỏ lửa khoảng 30 phút. | Sau 30 phút, cho 2/3 lượng rau răm vào nồi, tiếp tục kho nhỏ lửa thêm 30 phút. | Khi kho gần xong, rắc phần rau răm còn lại lên trên cho thơm, kho thêm vài phút rồi tắt bếp."
Phi lê cá rô phi chiên giòn,30 phút,4 người,Dễ,500 g phi lê cá rô phi | 1 gói bột chiên giòn,Cá rửa sạch với muối và giấm cắt miếng vừa ăn dày khoảng 2 cm | Áo cá vào lớp bột chiên giòn | Sau đó Cho lên chảo chiên vàng đều hoặc chiên sơ rồi cho vào nồi chiên không dầu nướng cho đến khi cá giòn.
Phi lê cá rô phi cuộn thịt chiên giòn,60 phút,4 người,Dễ,"500 g phi lê cá rô phi | 200 g thịt nạc xay | 2 tai mộc nhĩ | Hành củ , hạt tiêu, gia vị | 1 gói bột chiên giòn","Mộc nhĩ ngâm nở, rửa sạch, cắt nhỏ. Trộn mộc nhĩ vào thịt cùng 1 thìa canh mắm, 1 thìa cf tiêu, 1 củ hành khô băm nhỏ, để 15 phút cho thấm. | Cá rửa sạch với dấm và muối, để ráo. Cắt ngang và mỏng miếng phi lê cá, lát cắt đầu tiên không cắt rời, lát cắt thứ 2 cắt rời để lấy bề rộng cuộn thịt (như hình) | Trải lát cá, cho thịt vào cuộn lại | Như hình | Thấm cá vào bột chiên giòn, chiên ngập dầu. | Bạn có thể chiên chín hoặc chiên sơ rồi cho vào nckd nướng đến khi giòn. Cho cá ra đĩa và thưởng thức."
Canh Bí Đỏ Cải Bẹ Dún Nấu Tôm,45 phút,2 tô,Dễ,200 gr Bí đỏ (1/2 trái bí hạt đậu nhỏ) | 2 bụi cải bẹ dún | 100 g Tôm tươi | 1 muỗng cà phê Hành tím băm | 1 muỗng cà phê Tỏi băm | 1/2 muỗng cà phê Muối | 1/4 muỗng cà phê Đường | 800 ml Nước,"Bí đỏ gọt vỏ, cắt khối vừa ăn. Cải bẹ dún rửa sạch, cắt khúc. | Tôm lột vỏ, cho vào máy xay xay vừa phải không quá nát. Phi hành tỏi với chút dầu, cho tôm vào xào, nêm muối và đường. (Mình thường làm sẵn 1 tô tôm xào này rồi cất tủ lạnh để dành nấu canh trong tuần.) | Thêm nước vào nồi, đun sôi rồi cho bí đỏ vào nấu mềm. | Cho cải bẹ dún vào, nêm lại cho vừa ăn, nấu thêm 1 phút rồi tắt bếp. Nếu có hành lá cắt khúc cho vào càng ngon. | Dọn ăn thôi, nhớ rắc tiêu nha."
Phở khô xào hải sản,45 phút,2 phần,Dễ,100 g Bánh phở khô | 200 g Mực | 200 g Tôm | 1 quả trứng gà | 30 g lá hẹ | 50 g giá đất | 20 g Đậu phộng rang | 1/4 muỗng cà phê Muối | 1 muỗng cà phê Hạt nêm | 1 muỗng canh Nước mắm | 1/4 muỗng cà phê Tiêu | 1 củ Hành tím | 2 muỗng canh Dầu ăn,"Luộc bánh phở vừa chín, vớt ra rổ để ráo. | Mực, tôm làm sạch, cắt nhỏ. Lá hẹ, giá rửa sạch, để ráo. | Phi thơm hành tím với dầu ăn rồi xào mực và tôm, nêm nước mắm. Tiếp tục cho phở vào cùng với một quả trứng gà, nêm thêm hạt nêm cho vừa ăn, sau cùng cho lá hẹ và giá, đảo nhanh tay rồi tắt bếp. | Bày ra dĩa, rắc đậu phộng rang lên trên, trộn đều rồi thưởng thức."
Mắm cá hộp chưng,60 phút,4 người,Dễ,"250 gr thịt ba chỉ heo xay | 2 lon cá hộp | 8 quả trứng | Tiêu, hạt nêm, nước mắm, đường, bột ớt hàn | Dầu màu điều | Hành tím , hành lá | Ớt sừng","Đổ cá hộp ra tô, dùng nĩa dằm nát, thêm thịt, 4 quả trứng, gia vị: 1/2mc đường, 1mc hạt nêm, 1mc nước mắm, tiêu, bột ớt hàn, hành lá và hành tím thái nhỏ. Trộn đều | Mình dùng chén bạc hay dùng để nướng hàu, hấp trong 15p, lấy ra đảo đều mắm trong chén lại 1 lần nữa | 4 lòng đỏ trứng thêm ít dầu màu điều đánh nhuyễn, phết lên trên mặt mắm mới trộn, thêm lát ớt, tiêu để cho đẹp. Nướng 130 độ 4-5p là hoàn thành. Vì mình làm có 2 trứng và có lẫn lòng trắng nên chưa vàng ươm như mong đợi, nhà có bé cũng k ăn cay nên đoạn trang trí thêm ớt lát và rắc tiêu lên trên mình bỏ qua luôn😁 | Chúc các bạn thành công❤️"
Đậu hủ non sốt cari Nhật,30ph,2 phần ăn,Dễ,"Đậu hủ non , cà rốt , khoai tây , viên cà ri Nhật, gia vị thuần chay | 1/2 chén nước lọc","Phi boro với dầu cho vàng thơm - Cà rốt, khoai tây sắt hạt lựu cho vào xào - Nêm gia vị: muối thô, đường nâu, tiêu, hạt nêm nấm hương - Cho 1 chút nước lọc - Khi nước sôi, nguyên liệu đã chín, tắt bếp, cho viên cà ri Nhật vào khuấy tan - Bật lại bếp, cho đậu hủ non trộn đều, cho 1 mcf dầu mè trộn và tắt bếp - Rắc mè rang và thưởng thức."
Bữa cơm gia đình với các món ăn từ thịt heo,45 phút,3 người,Dễ,Thịt ba rọi rim cà chua | Đuôi heo luộc chấm nước mắm chua ngọt | Canh đuôi heo nấu bí xanh,Ba rọi rim cà chua | Đuôi heo luộc chấm nước mắm chua ngọt | Canh đuôi heo nấu bí xanh | Bữa cơm gia đình với các món ăn từ thịt heo
Canh đuôi heo nấu bí xanh,30 phút,2 người,Dễ,1 cái đuôi heo | 1 trái bí xanh | Hành lá | Gia vị,"Đuôi heo chặt khúc, bóp muối giấm rửa sạch, trụng qua và rửa lại, cho vào nồi hầm với muối, hạt nêm và đầu hành | Bí cắt làm tư, bỏ ruột bào mỏng. Đuôi heo mềm thì cho bí vào | Bí chín thì thêm hành lá và tiêu xay"
Ruốc nấm sò,1 tiếng,Để tủ lạnh ăn dần,Dễ,1 kg nấm sò | 1 thìa cafe Bột nêm ngưu bàng | 1 thìa cafe nước tương chay,"Rửa sạch nấm sò, vắt ráo nước. | Dùng máy xay để xay nhỏ nấm, mình xé tay nên sợi nấm to nhỏ không đều. | Cho nấm đã xay nhỏ/ xé nhỏ vào nồi chiên để làm giảm nhanh lượng nước trong nấm. | Làm nóng chảo với 1 ít dầu ăn. Cho nấm đã xử lý ở bước 3 ra chảo đảo đều tay. Thêm nước tương và hạt nên ngưu bàng theo khẩu vị ăn. Đảo đến độ khô mình mong muốn. | Để nguội cất lọ trữ tủ lạnh ăn dần."
Bữa cơm nhiều món với lá hẹ,45 phút,3 người,Dễ,Hẹ chiên trứng | Tôm thịt rang hẹ | Cải thảo xào hẹ | Canh cải con tôm thịt | Nho tươi,"Hẹ chiên trứng | Tôm thịt rang hẹ | Cải thảo xào hẹ | Canh cải con tôm thịt | Nho tươi | Bữa cơm nhiều món với lá hẹ với đa dạng các món chiên, rang và xào hẹ"
Tôm thịt rang hẹ,25 phút,3 người,Dễ,200 g thịt ba rọi | 200 g tôm nhỏ | Hành ngò | Lá hẹ | Gia vị,"Phi thơm đầu hành, cho thịt vào đảo săn rồi cho tôm vào | Thêm 3mc nước mắm và 1mc đường. Tôm thịt thấm gia vị thì thêm hẹ cắt khúc vào | Gắp ra dĩa, thêm ít tiêu xay và ngò trang trí"
Canh cải con tôm thịt,15 phút,2 người,Dễ,100 g thịt vai xay | 50 g tôm nhỏ | 400 g cải con | Gia vị,"Tôm thịt cho vào nồi có 1,5l nước. Rau cải con rửa sạch | Nước sôi cho rau vào, thêm 1,5mcf muối, ít hạt nêm | Rau chín múc canh ra tô, thêm ít tiêu xay"
Cơm nhà đơn giản cho ngày bận rộn,45 phút,3 người,Dễ,Giò heo luộc | Canh rau má nấu giò heo,Giò heo luộc ngâm nước mắm chua ngọt | Canh rau má nấu giò heo | Thêm dĩa trái cây là bữa cơm đơn giản và ngon đã xong
Canh rau má nấu giò heo,45 phút,3 người,Dễ,1/2 cái giò heo phần móng | 300 g rau má | 2 củ hành | Gia vị,"Giò heo bóp muối giấm rửa sạch, trụng qua và rửa lại cho sạch, cho vào nồi hầm với muối, hạt nêm và hành củ đập dập | Rau má rửa sạch. Giò heo mềm thì cho rau vào | Rau chín múc ra tô, thêm ít tiêu xay"
Canh Măng Củ Tươi Nấu Nấm Rơm và Ngưu Bàng,60 phút,2 tô,Dễ,500 g Măng củ tươi | 150 g Nấm rơm tươi hoặc 50 gr nấm rơm khô | 100 g Củ ngưu bàng tươi | 1 thìa cà phê Muối | 1 thìa canh Hạt nêm | Rau mùi ta,"Măng tươi lột vỏ, bỏ phần già, thái mỏng. Luộc 2 lần nước với muối, mỗi lần 7-10 phút từ lúc sôi, xả lại nước. | Củ ngưu bàng cạo sơ vỏ, cắt khúc vừa ăn. | Nấm rơm tươi rửa sạch, có thể chiên sơ, phơi nắng hoặc sấy khô nhẹ. Nếu dùng nấm khô, rửa sạch. | Cho nấm và ngưu bàng vào nồi nước, nấu 15 phút. | Măng xào với hạt nêm 5-7 phút cho thấm, sau đó cho vào nồi nước dùng, hầm tiếp 15-30 phút cho măng mềm. | Nêm lại vừa ăn, cho rau mùi ta vào rồi tắt bếp."
Đậu hũ trứng tôm,15ph,2 ng,Dễ,1 cây đậu hũ trứng | 6-8 con tôm nõn | 1 quả trứng gà đánh tan | 1 mc xì dầu | 1 mcf hắc xì dầu | 1 mc nước lọc,"Cho xíu dầu vào chảo. Dầu nóng, cho đậu hũ trứng vào, dùng xẻng xắn ra từng phần. | Xếp tôm vào chảo. Đậy nắp để chín tôm. Cho hỗn hợp xì dầu vào, rưới trứng gà lên đều chảo. Rắc tí tiêu, hành lá. | Đậy nắp lại thêm 1-2 phút rồi tắt bếp. Lên dĩa và măm thôi."
Canh khoai mỡ nấu cùng tôm tươi,60 phút,1 người,Dễ,"1 củ khoai mỡ | 1 ít tôm sú | 2 chén nước lọc | 1 muỗng cf đường, hạt nêm, bột ngọt | 1 ít Dầu ăn , tỏi","Làm sạch nguyên liệu | Băm tôm Nhuyễn Bào khoai mỡ nhuyễn | Nấu canh : cho dầu ăn vào, tỏi vào phi thơm tỏi vàng, cho tôm băm vào xào săn thịt tôm thì mình nêm hạt nêm, đường, bột ngọt. Sau đó 2 chén nước lọc vào nấu sôi lên thì thả khoai mỡ bào vào. Nấu sôi lên. Nêm nếm sao cho vừa ăn thì tắt bếp, thưởng thức."
Cá Chạch Kho Nghệ,1 tiếng,5-6 người,Dễ,600 gam cá Chạch | 200 gam thịt ba rọi | 1 củ nghệ tươi (2 lóng tay) | 1 tsp bột nghệ | 1 trái dừa xiêm (chỉ lấy nước) | 2 lát gừng | 1 tbsp hành tím băm | 1/2 tbsp ớt băm | 3 tbsp nước mắm | 2 tsp đường | 1/2 tsp hạt nêm | 1/2 tsp tiêu | 1/4 tsp bột ngọt | 1 tbsp dầu màu điều | 2 tbsp dầu ăn,"Làm sạch nhớt cá bằng muối hột + giấm, rửa lại nhiều lần, để ráo rồi cắt khúc vừa ăn. Cho cá vô tô trộn và cho gia vị ướp cá: 1tbsp nghệ tươi băm + 1tsp bột nghệ + 1tbsp hành tím + 2 lát gừng + 1/2tbsp ớt băm + 3tbsp nước mắm + 2tsp đường + 1/2tsp hạt nêm + 1/2tsp tiêu + 1/4tsp bột ngọt + 1tbsp dầu ăn… Trộn đều tất cả và để khoảng 20 phút cho cá thấm gia vị. | Thịt ba rọi luộc vừa chín, xắt sợi. Bắc chảo lên bếp, cho 1tbsp dầu ăn. Khi dầu nóng, ta cho thịt vô đảo cho thịt săn lại và tiết ra mỡ. Sau đó, ta trút phần cá đã ướp xong vô chảo. | Lật mặt cá cho thịt cá săn đều. Sau đó, ta cho nước dừa tươi vào xăm xắp mặt cá, đậy nắp, kho lửa vừa cho sôi. | Sau đó, ta hạ nhỏ lửa liu riu và nấu thêm khoảng 30 phút cho nước cạn. Trong quá trình nấu, nếu nước cạn nhanh, ta cho thêm một ít nước lọc vô. Khi cá chín, ta cho thêm 1tbsp dầu màu điều và rắc thêm ít tiêu vô nồi cá rồi tắt bếp. Ta để yên cá khoảng 3-4 phút rồi thưởng thức cùng cơm nóng sẽ rất ngon…"
Hủ Tíu Xào Tôm,15 phút,4 người,Dễ,600 gam hủ tíu mềm | 300 gam nõn tôm | 150 gam giá | 2 tbsp dầu ăn | 1 tsp hành tím băm | 1 tsp tỏi băm | 2 tbsp nước tương | 1/2 tbsp dầu hào | 1/4 tbsp hắc xì dầu đặc biệt | 1/2 tbsp tương cà | 1 tsp dầu mè | 1 tsp hạt nêm | 1/4 tsp bột ngọt | 1 tsp đường | 1/2 tsp tiêu,"Pha nước xốt: 2tbsp nước tương + 1/2tbsp dầu hào + 1/4tbsp hắc xì dầu đặc biệt + 1/2tbsp tương cà + 1tsp dầu mè + 1/2tsp hạt nêm + 1tsp đường + 1/4tsp tiêu. Khuấy cho tất cả hoà tan với nhau. | Bắc chảo lên bếp, cho 2tbsp dầu ăn vô. Dầu nóng, ta cho tôm đã lột vỏ vô chảo, xào trên lửa lớn. Khi tôm vừa săn lại, ta cho vô chảo 1tsp hành tím băm + 1tsp tỏi băm để phi cho thơm. | Cho giá vô chảo tôm. Nêm vô đó: 1/2tsp hạt nêm + 1/4tsp bột ngọt rồi đảo thật đều lên. | Cho hủ tíu vô chảo để xào. Rưới phần nước xốt đã chuẩn bị vô rồi đảo thật đều cho hủ tíu và các nguyên liệu thấm đều nước xốt. | Xào thêm khoảng 2 phút cho sợi hủ tíu nóng thì tắt bếp. Ta cho món ăn ra dĩa và thưởng thức."
Thịt gà xào măng,15p,2 người,Dễ,"300 g măng tươi | 200 g thịt gà (mình sử dụng ức) | 1 tép tỏi | Mùi tàu , dầu hào, muối, mì chính , dầu oliu","Măng tước nhỏ, càng nhỏ càng ngon, thịt ức gà thái mỏng, mùi tàu thái sợi | Phi thơm tỏi rồi cho măng vào xào, nêm mì chính, muối, xíu dầu hào, xào tới khi măng xăn lại | Măng xăn lại thì cho thịt gà vào xào, chín thì cho mùi tàu vào rồi tắt bếp | Thực đơn hôm nay của mình có salad, ức gà xào măng, cơm, dưa chuột và tráng miệng táo"
Salad tôm - đậu gà,30p,2 phần ăn,Dễ,1 nắm tay Đậu gà | 4 cái lá xà lách | 1 quả trứng gà | 6 con Tôm | 1 thìa cà phê Mè đen | 3 thìa phở Nước sốt mè rang,"Đậu gà ngâm từ tối hôm trước, lúc nấu rửa sạch | Tôm tươi bóc vỏ, trứng luộc, xà lách rửa sạch thái nhỏ | Đậu gà luộc cho tới khi chín nhừ, trứng gà bổ làm 4, tôm luộc chín hoặc hấp, cho tất cả nguyên liệu vào âu để trộn | Trộn đều và thưởng thức sự bùi béo thơm của đậu gà, ngọt của tôm tươi và tươi mát của xà lách, chua nhẹ của sốt mè rang🌷"
Măng nhồi thịt,45p,4 phần ăn,Dễ,"1 kg măng tươi đã luộc | 300 g Thịt xay | 50 g Nấm hương khô | 50 g Mộc nhĩ | Mùi tàu , hành , dầu hào, mắm, mì chính , dầu ăn | 2 quả Trứng","Măng rửa sạch, thái 1 đường để cái măng to ra cho dễ cuộn, nấm hương mộc nhĩ ngâm nở rửa sạch rồi thái nhỏ, mùi tàu hành thái nhỏ, trứng lấy lòng đỏ bỏ lòng trắng, trộn tất cả thịt xay, hành, mùi tàu, mộc nhĩ nấm hương, thêm 2 thìa phở dầu hào, 1 thìa nước mắm, 1 nhúm mì chính, gia giảm gia vị theo khẩu vị nhà mình nha, trộn đều tất cả để làm nhân | Rải 1 lớp măng dưới đáy cho đỡ cháy vì món này sẽ ỏm hơi lâu thời gian | Nhồi nhân với măng rồi xếp vào nồi | Dưới 1 lớp dầu ăn lên trên rồi đun nhỏ lửa cho tới khi măng nhừ là được, thành quả măng ăn siêu cuốn🌷"
Nấm đông cô tươi xào tôm nõn,20p,2 phần ăn,Dễ,"7 con Tôm | 1/2 gói Nấm đông cô tươi | 2 tép Gia vị : dầu hào, dầu oliu, mắm , tỏi | 3 dây Củ cải khô","Sơ chế nguyên liệu : tôm bóc nõn, củ cải thái dài 5cm, nấm đông cô cắt đôi, sau đó phi thơm tỏi với dầu oliu (mình k ăn được tỏi nên đập dập chứ k băm nhỏ hay đập nát) | Xào củ cải khô với nấm đông cô, nêm chút dầu hào | Sau khi chín củ cải và nấm thì cho tôm vào xào, nêm chút mắm theo khẩu vị của mình, chín tôm thì choén thôi nào🌷 | Thành phẩm bữa ăn healthy cùng chinnnnn ạ, mọi người có thể tham khảo thực đơn tối nay của mình nha🌷"
